tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent,avg_energy_green,avg_energy_yellow,avg_energy_red
68,8,7,0,1,0,70.33333333333333,293,67.75,80.24999999999999,62.99999999999999
69,8,7,0,1,0,71.83333333333333,297,65.5,78.99999999999999,71.0
70,8,7,0,1,0,73.33333333333333,301,63.25,77.74999999999999,79.0
71,8,7,0,1,0,74.83333333333333,305,61.0,76.49999999999999,87.0
72,8,7,0,1,0,76.33333333333333,309,58.75,75.24999999999999,95.0
73,8,7,0,1,0,74.83333333333333,313,56.5,73.99999999999999,94.0
74,8,7,1,0,0,72.88333333333333,317,55.5,72.74999999999999,90.4
75,8,7,1,0,0,70.93333333333334,323,54.5,71.49999999999999,86.80000000000001
76,8,7,1,0,0,68.64999999999999,327,53.5,69.24999999999999,83.20000000000002
77,8,7,1,0,0,66.36666666666667,331,52.5,66.99999999999999,79.60000000000002
78,8,7,1,0,0,64.08333333333333,334,51.5,64.74999999999999,76.00000000000003
79,8,7,1,0,0,61.80000000000001,337,50.5,62.499999999999986,72.40000000000003
80,8,7,1,0,0,59.51666666666667,340,49.5,60.249999999999986,68.80000000000004
81,8,7,1,0,0,57.23333333333335,343,48.5,57.999999999999986,65.20000000000005
82,8,7,1,0,0,54.95000000000001,346,47.5,55.749999999999986,61.600000000000044
83,7,7,0,0,0,52.25000000000001,350,46.5,52.249999999999986,58.00000000000004
84,7,7,0,0,0,48.85,355,45.5,46.649999999999984,54.40000000000004
85,7,7,0,0,0,46.116666666666674,358,44.5,43.04999999999998,50.80000000000004
86,6,6,0,0,0,43.05000000000001,363,42.5,39.44999999999998,47.20000000000004
87,6,6,0,0,0,39.98333333333334,369,40.5,35.84999999999998,43.60000000000004
88,5,5,0,0,0,36.583333333333336,373,37.5,32.24999999999998,40.000000000000036
89,5,5,0,0,0,32.76666666666667,378,33.25,28.649999999999977,36.400000000000034
90,6,5,0,1,1,31.350000000000005,381,31.0,27.649999999999977,35.400000000000034
91,6,5,0,1,1,32.6,384,28.75,34.64999999999998,34.400000000000034
92,6,5,0,1,1,34.18333333333334,388,26.5,42.64999999999998,33.400000000000034
93,6,5,0,1,1,35.76666666666667,392,24.25,50.64999999999998,32.400000000000034
94,6,5,0,1,1,37.35,396,22.0,58.64999999999998,31.400000000000034
95,6,5,0,1,1,38.93333333333334,400,19.75,66.64999999999998,30.400000000000034
96,6,5,0,1,1,43.18333333333334,404,17.5,74.64999999999998,37.400000000000034
97,7,5,1,1,1,48.18333333333334,408,16.5,82.64999999999998,45.400000000000034
98,7,5,1,1,1,55.85,412,23.5,90.64999999999998,53.400000000000034
99,7,5,1,1,1,60.85,417,31.5,89.64999999999998,61.400000000000034
100,7,5,1,1,1,65.85000000000001,422,39.5,88.64999999999998,69.40000000000003
101,7,5,1,1,1,70.85000000000001,427,47.5,87.64999999999998,77.40000000000003
102,7,5,1,1,1,75.85000000000001,431,55.5,86.64999999999998,85.40000000000003
103,7,5,1,1,1,80.85000000000001,435,63.5,85.64999999999998,93.40000000000003
104,7,5,1,1,1,82.85000000000001,439,71.5,84.64999999999998,92.40000000000003
105,7,5,1,1,1,84.85000000000001,443,79.5,83.64999999999998,91.40000000000003
106,7,5,1,1,1,86.85000000000001,447,87.5,82.64999999999998,90.40000000000003
107,7,5,1,1,1,88.85000000000001,451,95.5,81.64999999999998,89.40000000000003
108,7,5,1,1,1,90.51666666666667,455,94.5,88.64999999999998,88.40000000000003
109,7,5,1,1,1,89.51666666666667,460,93.5,87.64999999999998,87.40000000000003
110,6,5,0,1,1,88.10000000000001,465,92.5,85.39999999999998,86.40000000000003
111,6,5,0,1,1,87.01666666666667,471,91.5,84.14999999999998,85.40000000000003
112,6,5,0,1,1,85.93333333333334,474,90.5,82.89999999999998,84.40000000000003
