tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
526,5,0,0,5,5,1.5555555555555556,4634
527,5,0,0,5,5,1.4444444444444444,4643
528,5,0,0,5,5,1.3333333333333333,4652
529,5,0,0,5,5,1.6666666666666667,4661
530,5,0,0,5,5,1.5555555555555556,4670
531,5,0,0,5,5,1.4444444444444444,4679
532,5,0,0,5,5,1.3333333333333333,4688
533,5,0,0,5,5,1.6666666666666667,4697
534,5,0,0,5,5,1.5555555555555556,4706
535,5,0,0,5,5,1.4444444444444444,4715
536,5,0,0,5,5,1.3333333333333333,4724
537,5,0,0,5,5,1.6666666666666667,4733
538,5,0,0,5,5,1.5555555555555556,4742
539,5,0,0,5,5,1.4444444444444444,4751
540,10,4,1,5,5,1.3333333333333333,4760
541,10,4,1,5,5,2.111111111111111,4767
542,9,3,1,5,5,1.4444444444444444,4774
543,9,3,1,5,5,2.2222222222222223,4781
544,8,2,1,5,5,1.1111111111111112,4789
545,8,2,1,5,5,2.3333333333333335,4797
546,9,2,2,5,5,1.3333333333333333,4806
547,9,2,2,5,5,1.6666666666666667,4816
548,9,2,2,5,5,1.1111111111111112,4825
549,9,2,2,5,5,1.8888888888888888,4834
550,10,2,3,5,5,1.3333333333333333,4843
551,10,2,3,5,5,1.6666666666666667,4853
552,10,2,3,5,5,1.1111111111111112,4862
553,10,2,3,5,5,1.8888888888888888,4871
554,10,2,3,5,5,1.3333333333333333,4880
555,10,2,3,5,5,1.6666666666666667,4889
556,10,2,3,5,5,1.1111111111111112,4898
557,10,2,3,5,5,1.8888888888888888,4906
558,10,2,3,5,5,1.3333333333333333,4913
559,9,1,3,5,5,1.5555555555555556,4920
560,9,1,3,5,5,1.4444444444444444,4927
561,8,1,2,5,5,1.6666666666666667,4935
562,8,1,2,5,5,1.5555555555555556,4944
563,8,1,2,5,5,1.4444444444444444,4954
564,8,1,2,5,5,1.3333333333333333,4964
565,8,1,2,5,5,1.6666666666666667,4973
566,7,1,1,5,5,1.4444444444444444,4982
567,7,1,1,5,5,1.7777777777777777,4991
568,7,1,1,5,5,1.6666666666666667,5001
569,7,1,1,5,5,1.5555555555555556,5009
570,6,0,1,5,5,1.3333333333333333,5017
571,6,0,1,5,5,1.6666666666666667,5025
572,6,0,1,5,5,1.5555555555555556,5034
573,6,0,1,5,5,1.4444444444444444,5043
574,7,0,1,6,5,1.3333333333333333,5052
575,7,0,1,6,5,1.6666666666666667,5062
576,7,0,1,6,5,1.5555555555555556,5071
577,7,0,1,6,5,1.4444444444444444,5080
578,7,0,1,6,5,1.3333333333333333,5089
579,7,0,1,6,5,1.6666666666666667,5097
580,7,0,1,6,5,1.5555555555555556,5105
581,7,0,1,6,5,1.4444444444444444,5113
582,7,0,1,6,5,1.3333333333333333,5121
583,7,0,1,6,5,1.6666666666666667,5130
584,7,0,1,6,5,1.5555555555555556,5139
585,7,0,1,6,5,1.4444444444444444,5148
586,7,0,1,6,5,1.3333333333333333,5157
587,7,0,1,6,5,1.6666666666666667,5166
588,7,0,1,6,5,1.5555555555555556,5174
